"","GENE","ORF","ID","Days","pVal","Value","Diff","Abundance","Description"
"41","OSH7","YHR001W",3347,"4 5 7 10 12",9.68812312568539e-08,16.304,-0.254,NA,"Oxysterol-binding protein; part of family with seven members in S. cerevisiae; family members have overlapping, redundant functions in sterol metabolism and collectively perform a function essential for viability; OSH7 has a paralog, OSH6, that arose from the whole genome duplication"
"40","ENT1","YDL161W",1373,"4 5 7 10 12 14",9.68812312568539e-08,13.372,-1.676,NA,"Epsin-like protein involved in endocytosis and actin patch assembly; functionally redundant with Ent2p; binds clathrin via a clathrin-binding domain motif at C-terminus; relocalizes from bud neck to cytoplasm upon DNA replication stress; ENT1 has a paralog, ENT2, that arose from the whole genome duplication"
"42","LSM3","YLR438C-A",1276,"3 4 5 7 10 12 14",1.04688739613158e-07,14.826,-0.77,1460,"Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA, snoRNA, and rRNA; protein increases in abundance and relocalizes from nucleus to cytoplasmic foci upon DNA replication stress"
"2836","GPP2","YER062C",1589,"3 4 5 7 10 12 14",1.10230215998078e-07,13.679,0.68,319,"DL-glycerol-3-phosphate phosphatase involved in glycerol biosynthesis; also known as glycerol-1-phosphatase; induced in response to hyperosmotic or oxidative stress, and during diauxic shift; GPP2 has a paralog, GPP1, that arose from the whole genome duplication"
"43","EFG1","YGR271C-A",2486,"3 4 5 7 10 12 14",1.15348030708419e-07,12.523,-1.751,5860,"Essential protein required for maturation of 18S rRNA; null mutant is sensitive to hydroxyurea and is delayed in recovering from alpha-factor arrest; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus"
"44","ERP6","YGL002W",921,"3 4 5 7 10 12 14",1.18560062472341e-07,12.706,-2.337,NA,"Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; ERP6 has a paralog, ERP1, that arose from the whole genome duplication"
"2837","VPS5","YOR069W",104,"5 7 10 12 14",1.21046648012707e-07,15.084,0.49,1070,"Nexin-1 homolog; required for localizing membrane proteins from a prevacuolar/late endosomal compartment back to late Golgi; structural component of retromer membrane coat complex; forms a retromer subcomplex with Vps17p; required for recruiting the retromer complex to the endosome membranes; VPS5 has a paralog, YKR078W, that arose from the whole genome duplication"
"45","DUR1,2","YBR208C",991,"2 3 4 5 7 10 12 14",1.27221517504678e-07,14.129,-0.607,21900,"Urea amidolyase; contains both urea carboxylase and allophanate hydrolase activities, degrades urea to CO2 and NH3; expression sensitive to nitrogen catabolite repression and induced by allophanate, an intermediate in allantoin degradation; protein abundance increases in response to DNA replication stress"
"46","YHB1","YGR234W",234,"2 3 4 5 7 10 12 14",1.31429005871895e-07,12.292,-1.869,1110,"Nitric oxide oxidoreductase; flavohemoglobin involved in nitric oxide detoxification; plays a role in the oxidative and nitrosative stress responses; protein increases in abundance and relocalizes from nucleus to cytoplasmic foci upon DNA replication stress"
"2838","DEF1","YKL054C",588,"5 7 10 12 14",1.43572388573679e-07,15.902,0.267,NA,"RNAPII degradation factor; forms a complex with Rad26p in chromatin, enables ubiquitination and proteolysis of RNAPII present in an elongation complex; mutant is deficient in Zip1p loading onto chromosomes during meiosis"
"2839","CMK2","YOL016C",374,"3 4 5 7 10 12 14",1.46903091810724e-07,13.449,1.284,3390,"Calmodulin-dependent protein kinase; may play a role in stress response, many CA++/calmodulan dependent phosphorylation substrates demonstrated in vitro, amino acid sequence similar to mammalian Cam Kinase II; CMK2 has a paralog, CMK1, that arose from the whole genome duplication"
"2840","GID8","YMR135C",2368,"3 4 5 7 10 12 14",1.48429447398414e-07,12.035,2.146,3390,"Subunit of GID Complex, binds strongly to central component Vid30p; GID Complex is involved in proteasome-dependent catabolite inactivation of fructose-1,6-bisphosphatase; recruits Rmd5p, Fyv10 and Vid28p to GID Complex; contains LisH, CTLH, and CRA domains that mediate binding to Vid30p (LisH) and Rmd5p and Vid28p (CTLH and CRA); dosage-dependent regulator of START"
"2841","PTR3","YFR029W",520,"3 4 5 7 10 12 14",1.48485461164609e-07,12.91,2.305,NA,"Component of the SPS plasma membrane amino acid sensor system; senses external amino acid concentration and transmits intracellular signals that result in regulation of expression of amino acid permease genes; other members are Ssy1p, Ptr3p, and Ssy5p"
"47","PEP5","YMR231W",1347,"4 5 7 10",1.60937043950885e-07,12.935,-1.868,861,"Histone E3 ligase, component of CORVET membrane tethering complex; peripheral vacuolar membrane protein required for protein trafficking and vacuole biogenesis; interacts with Pep7p; involved in ubiquitylation and degradation of excess histones"
"2842","HXT2","YMR011W",1103,"2 3 4 5 7 10 12 14",1.62047460859867e-07,14.374,0.448,NA,"High-affinity glucose transporter of the major facilitator superfamily; expression is induced by low levels of glucose and repressed by high levels of glucose"
"2843","DDI1","YER143W",1704,"2 3 4 5 7 10 12 14",1.73685454114246e-07,10.792,1.89,172,"DNA damage-inducible v-SNARE binding protein; role in suppression of protein secretion; may play a role in S-phase checkpoint control; has ubiquitin-associated (UBA), ubiquitin-like (UBL), and retroviral-like proteinase (RVP) domains"
"48","PCS60","YBR222C",1224,"4 5 7 10 12 14",1.74854021601277e-07,15.38,-0.379,68400,"Oxalyl-CoA synthetase; capable of catalyzing conversion of oxalate to oxalyl-CoA; catalyzes first step in pathway of oxalate degradation that functions to protect yeast from inhibitory effects of oxalate; peroxisomal protein that binds mRNA; localizes to both peroxisomal peripheral membrane and matrix, expression is highly inducible by oleic acid; similar to E. coli long chain acyl-CoA synthetase"
"49","LSM5","YER146W",702,"2 3 4 5 7 10 12 14",1.89851354687729e-07,14.859,-0.541,31400,"Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA, snoRNA, and rRNA"
"50","ADE3","YGR204W",3262,"5 7 10 12 14",1.89851354687729e-07,15.951,-0.3,450,"Cytoplasmic trifunctional enzyme C1-tetrahydrofolate synthase; involved in single carbon metabolism and required for biosynthesis of purines, thymidylate, methionine, and histidine; null mutation causes auxotrophy for adenine and histidine"
"51","UBA4","YHR111W",3404,"2 3 4 5 7 10 12 14",1.92010275013512e-07,14.784,-0.659,2140,"E1-like protein that activates Urm1p before urmylation; also acts in thiolation of the wobble base of cytoplasmic tRNAs by adenylating and then thiolating Urm1p; receives sulfur from Tum1p"
"2844","GTR1","YML121W",1351,"5 7 10 12 14",2.06154985962326e-07,15.637,0.317,38900,"Cytoplasmic GTPase; forms a heterodimer with Gtr2p to stimulate TORC1 in response to amino acids; component of GSE complex, which is required for sorting of Gap1p; involved in phosphate transport and telomeric silencing; similar to human RagA and RagB"
"2845","SLX5","YDL013W",1992,"3 4 5 7 10 12 14",2.1149296899551e-07,12.187,2.12,NA,"Subunit of the Slx5-Slx8 SUMO-targeted ubiquitin ligase (STUbL) complex; stimulated by SUMO-modified substrates; contains a RING domain and two SIM motifs; forms SUMO-dependent nuclear foci, including DNA repair centers; associates with the centromere; null mutants are aneuploid, have a metaphase delay, and spindle defects including: mispositioned spindles, fish hook spindles, and aberrant spindle kinetics; required for maintenance of genome integrity like human ortholog RNF4"
"2846","KRS1","YDR037W",2206,"3 4 5 7 10 12 14",2.14030355008545e-07,16.482,0.248,NA,"Lysyl-tRNA synthetase"
"52","ERV14","YGL054C",2064,"5 7 10 12 14",2.44403814590935e-07,11.744,-2.024,NA,"COPII-coated vesicle protein; involved in vesicle formation and incorporation of specific secretory cargo; required for the delivery of bud-site selection protein Axl2p to cell surface; related to Drosophila cornichon; ERV14 has a paralog, ERV15, that arose from the whole genome duplication"
"53","PGA3","YML125C",3020,"3 4 5 7 10 12 14",2.68984747505443e-07,13.601,-2.319,1420,"Putative cytochrome b5 reductase, localized to the plasma membrane; may be involved in regulation of lifespan; required for maturation of Gas1p and Pho8p, proposed to be involved in protein trafficking; PGA3 has a paralog, AIM33, that arose from the whole genome duplication"
"54","HSC82","YMR186W",1620,"3 4 5 7 10 12 14",2.68984747505443e-07,15.97,-0.293,233,"Cytoplasmic chaperone of the Hsp90 family; plays a role in determining prion variants; redundant in function and nearly identical with Hsp82p, and together they are essential; expressed constitutively at 10-fold higher basal levels than HSP82 and induced 2-3 fold by heat shock; contains two acid-rich unstructured regions that promote the solubility of chaperone-substrate complexes; HSC82 has a paralog, HSP82, that arose from the whole genome duplication"
"2847","SNF5","YBR289W",2416,"3 4 5 7 10 12 14",3.04037706938487e-07,10.53,2.112,1540,"Subunit of the SWI/SNF chromatin remodeling complex; involved in transcriptional regulation; functions interdependently in transcriptional activation with Snf2p and Snf6p; relocates to the cytosol under hypoxic conditions"
"2848","HMF1","YER057C",1775,"7 10 12 14",3.0667698080728e-07,13.747,1.238,32200,"Member of the p14.5 protein family; functionally complements Mmf1p function when targeted to mitochondria; heat shock inducible; high-dosage growth inhibitor; forms a homotrimer in vitro; HMF1 has a paralog, MMF1, that arose from the whole genome duplication"
"2849","ENB1","YOL158C",795,"3 4 5 7 10 12 14",3.08038463133394e-07,14.211,0.663,6420,"Endosomal ferric enterobactin transporter; expressed under conditions of iron deprivation; member of the major facilitator superfamily; expression is regulated by Rcs1p and affected by chloroquine treatment"
"55","ACC1","YNR016C",2169,"7 10 12 14",3.32409956084929e-07,16.554,-0.242,NA,"Acetyl-CoA carboxylase, biotin containing enzyme; catalyzes carboxylation of cytosolic acetyl-CoA to form malonyl-CoA and regulates histone acetylation by regulating the availablity of acetyl-CoA; required for de novo biosynthesis of long-chain fatty acids; ACC1 has a paralog, HFA1, that arose from the whole genome duplication"
"2850","RNR2","YJL026W",1885,"2 3 4 5 7 10 12 14",3.43678746529241e-07,15.284,0.37,31900,"Ribonucleotide-diphosphate reductase (RNR), small subunit; the RNR complex catalyzes the rate-limiting step in dNTP synthesis and is regulated by DNA replication and DNA damage checkpoint pathways via localization of the small subunits; RNR2 has a paralog, RNR4, that arose from the whole genome duplication"
"2851","ASC1","YMR116C",273,"5 7 10 12 14",3.66113738907928e-07,15.835,0.345,8970,"G-protein beta subunit and guanine dissociation inhibitor for Gpa2p; ortholog of RACK1 that inhibits translation; core component of the small (40S) ribosomal subunit; required to prevent frameshifting at ribosomes stalled at repeated CGA codons; regulates P-body formation induced by replication stress; represses Gcn4p in the absence of amino acid starvation"
"56","GPI8","YDR331W",3347,"3 4 5 7 10 12 14",3.80714418698101e-07,12.802,-1.716,NA,"ER membrane glycoprotein subunit of the GPI transamidase complex; adds glycosylphosphatidylinositol (GPI) anchors to newly synthesized proteins; human PIG-K protein is a functional homolog"
"57","BCY1","YIL033C",434,"4 5 7 10 12 14",4.06045965779269e-07,15.345,-0.416,NA,"Regulatory subunit of the cyclic AMP-dependent protein kinase (PKA); PKA is a component of a signaling pathway that controls a variety of cellular processes, including metabolism, cell cycle, stress response, stationary phase, and sporulation"
"2852","NUP82","YJL061W",2627,"7 10 12 14",4.11870626435253e-07,15.912,0.284,1550,"Linker nucleoporin component of the nuclear pore complex (NPC); also part of the NPC cytoplasmic filaments; contributes to nucleocytoplasmic transport and NPC biogenesis; forms stable associations with three FG-nucleoporins (Nsp1p, Nup159p, and Nup116p); relocalizes to the cytosol in response to hypoxia"
"58","BEM3","YPL115C",1041,"3 4 5 7 10 12 14",4.12402785658566e-07,14.47,-0.998,861,"Rho GTPase activating protein (RhoGAP); involved in control of the cytoskeleton organization; targets the essential Rho-GTPase Cdc42p, which controls establishment and maintenance of cell polarity, including bud-site assembly"
"59","HTA2","YBL003C",2693,"4 5 7 10 12 14",4.12617919796224e-07,15.14,-0.56,NA,"Histone H2A; core histone protein required for chromatin assembly and chromosome function; one of two nearly identical (see also HTA1) subtypes; DNA damage-dependent phosphorylation by Mec1p facilitates DNA repair; acetylated by Nat4p"
"2853",NA,"YBR137W",1986,"5 7 10 12 14",4.12617919796224e-07,15.374,0.359,5330,"Protein with a role in ER delivery of tail-anchored membrane proteins; interacts with Sgt2p; binds to the TRC complex, which inserts proteins into the ER membrane; interacts with Msn5p karyopherin; YBR137W is not an essential gene"
"2854","FCY2","YER056C",1008,"7 10 12 14",4.48910100319954e-07,15.933,0.262,589,"Purine-cytosine permease; mediates purine (adenine, guanine, and hypoxanthine) and cytosine accumulation; relative distribution to the vacuole increases upon DNA replication stress"
"60",NA,"YLR326W",3094,"3 4 5 7 10 12 14",4.56691021072081e-07,14.65,-0.712,NA,"Putative protein of unknown function; predicted to be palmitoylated"
"61","GCS1","YDL226C",1956,"3 4 5 7 10 12 14",4.78390170939778e-07,13.14,-1.694,1210,"ADP-ribosylation factor GTPase activating protein (ARF GAP); involved in ER-Golgi transport; required for prospore membrane formation; regulates phospholipase Spo14p; shares functional similarity with Glo3p; GCS1 has a paralog, SPS18, that arose from the whole genome duplication"
"62","ECM4","YKR076W",2645,"3 4 5 7 10 12 14",5.64529825063233e-07,15.194,-0.432,922,"Omega class glutathione transferase; not essential; similar to Ygr154cp; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm"
